#interval_tag	giter	x	y	end	mol_length	mol_sites	mapid	x0_loc	x1_loc	x0_site	x1_site
interval_errors	2	9.25762	21.7391	1	3773.21	300	1	3763.95	3773.21	300	301
interval_errors	2	5.39577	5.4087	0	3773.21	300	1	3126.46	3131.86	245	246
interval_errors	2	2.55603	2.3812	0	3773.21	300	1	3131.86	3134.41	246	247
interval_errors	2	13.1833	13.5339	0	3773.21	300	1	3134.41	3147.6	247	248
interval_errors	2	7.32772	7.385	0	3773.21	300	1	3147.6	3154.93	248	249
interval_errors	2	15.0177	15.2251	0	3773.21	300	1	3154.93	3169.94	249	250
interval_errors	2	26.1216	26.3355	0	3773.21	300	1	3169.94	3196.06	250	251
interval_errors	2	9.15454	9.2838	0	3773.21	300	1	3196.06	3205.22	251	252
interval_errors	2	26.8421	26.9193	0	3773.21	300	1	3205.22	3232.06	252	253
interval_errors	2	3.71693	3.8429	0	3773.21	300	1	3232.06	3235.78	253	254
interval_errors	2	8.3784	8.7813	0	3773.21	300	1	3235.78	3244.16	254	255
interval_errors	2	4.84517	4.3451	0	3773.21	300	1	3244.16	3249	255	257
interval_errors	2	9.17291	9.3269	0	3773.21	300	1	3249	3258.17	257	258
interval_errors	2	11.8917	11.9758	0	3773.21	300	1	3258.17	3270.07	258	259
interval_errors	2	10.5762	10.5927	0	3773.21	300	1	3270.07	3280.64	259	260
interval_errors	2	20.1053	19.1267	0	3773.21	300	1	3280.64	3300.75	260	262
interval_errors	2	3.47709	4.118	0	3773.21	300	1	3300.75	3304.22	262	263
interval_errors	2	9.22292	9.4307	0	3773.21	300	1	3304.22	3313.45	263	264
interval_errors	2	21.0126	20.9085	0	3773.21	300	1	3313.45	3334.46	264	265
interval_errors	2	7.62164	7.6753	0	3773.21	300	1	3334.46	3342.08	265	266
interval_errors	2	3.10969	3.0046	0	3773.21	300	1	3342.08	3345.19	266	267
interval_errors	2	5.91422	6.0306	0	3773.21	300	1	3345.19	3351.11	267	268
interval_errors	2	7.39405	7.808	0	3773.21	300	1	3351.11	3358.5	268	269
interval_errors	2	2.25343	1.8116	0	3773.21	300	1	3358.5	3360.75	269	270
interval_errors	2	20.2053	20.2854	0	3773.21	300	1	3360.75	3380.96	270	271
interval_errors	2	10.5568	10.5995	0	3773.21	300	1	3380.96	3391.52	271	272
interval_errors	2	5.15492	5.1562	0	3773.21	300	1	3391.52	3396.67	272	273
interval_errors	2	3.64447	3.6359	0	3773.21	300	1	3396.67	3400.31	273	274
interval_errors	2	3.24032	3.4141	0	3773.21	300	1	3400.31	3403.56	274	275
interval_errors	2	3.3883	3.3036	0	3773.21	300	1	3403.56	3406.94	275	276
interval_errors	2	12.8786	13.2035	0	3773.21	300	1	3406.94	3419.82	276	277
interval_errors	2	7.12666	7.1954	0	3773.21	300	1	3419.82	3426.95	277	278
interval_errors	2	34.5678	34.502	0	3773.21	300	1	3426.95	3461.52	278	279
interval_errors	2	12.254	12.3099	0	3773.21	300	1	3461.52	3473.77	279	280
interval_errors	2	16.4863	16.5899	0	3773.21	300	1	3473.77	3490.26	280	281
interval_errors	2	7.5451	7.6496	0	3773.21	300	1	3490.26	3497.8	281	282
interval_errors	2	3.48118	3.4008	0	3773.21	300	1	3497.8	3501.28	282	283
interval_errors	2	9.12495	9.2458	0	3773.21	300	1	3501.28	3510.41	283	284
interval_errors	2	44.5909	44.7445	0	3773.21	300	1	3510.41	3555	284	285
interval_errors	2	10.1894	9.8466	0	3773.21	300	1	3555	3565.19	285	287
interval_errors	2	35.2455	35.7347	0	3773.21	300	1	3565.19	3600.43	287	288
interval_errors	2	4.76965	4.9789	0	3773.21	300	1	3600.43	3605.2	288	289
interval_errors	2	19.2312	19.1144	0	3773.21	300	1	3605.2	3624.43	289	290
interval_errors	2	7.08686	7.0762	0	3773.21	300	1	3624.43	3631.52	290	291
interval_errors	2	7.61552	7.4988	0	3773.21	300	1	3631.52	3639.14	291	292
interval_errors	2	5.68919	5.6456	0	3773.21	300	1	3639.14	3644.83	292	293
interval_errors	2	29.7594	29.281	0	3773.21	300	1	3644.83	3674.59	293	294
interval_errors	2	15.6832	15.5991	0	3773.21	300	1	3674.59	3690.27	294	295
interval_errors	2	43.0264	42.3283	0	3773.21	300	1	3690.27	3733.3	295	296
interval_errors	2	14.5758	14.969	0	3773.21	300	1	3733.3	3747.87	296	297
interval_errors	2	11.4947	11.6683	0	3773.21	300	1	3747.87	3759.37	297	298
interval_errors	2	2.52082	2.3655	0	3773.21	300	1	3759.37	3761.89	298	299
interval_errors	2	2.06156	2.0914	0	3773.21	300	1	3761.89	3763.95	299	300
interval_errors	2	1.30838	9.1567	1	828.515	69	4	0	1.30838	0	1
interval_errors	2	1.8799	23.2278	1	828.515	69	4	826.635	828.515	69	70
interval_errors	2	19.5011	19.7128	0	828.515	69	4	1.30838	20.8095	1	2
interval_errors	2	16.3241	16.2859	0	828.515	69	4	20.8095	37.1336	2	3
interval_errors	2	9.16067	9.281	0	828.515	69	4	37.1336	46.2942	3	4
interval_errors	2	20.4186	20.5367	0	828.515	69	4	46.2942	66.7128	4	5
interval_errors	2	14.6177	14.2797	0	828.515	69	4	66.7128	81.3305	5	6
interval_errors	2	28.4383	28.6287	0	828.515	69	4	81.3305	109.769	6	7
interval_errors	2	2.24832	1.9014	0	828.515	69	4	109.769	112.017	7	8
interval_errors	2	31.154	31.0859	0	828.515	69	4	112.017	143.171	8	9
interval_errors	2	5.39271	5.4087	0	828.515	69	4	143.171	148.564	9	10
interval_errors	2	2.55603	2.3812	0	828.515	69	4	148.564	151.12	10	11
interval_errors	2	13.1843	13.5339	0	828.515	69	4	151.12	164.304	11	12
interval_errors	2	7.31037	7.385	0	828.515	69	4	164.304	171.615	12	13
interval_errors	2	15.0147	15.2251	0	828.515	69	4	171.615	186.629	13	14
interval_errors	2	26.1083	26.3355	0	828.515	69	4	186.629	212.738	14	15
interval_errors	2	9.15556	9.2838	0	828.515	69	4	212.738	221.893	15	16
interval_errors	2	26.8401	26.9193	0	828.515	69	4	221.893	248.733	16	17
interval_errors	2	3.71693	3.8429	0	828.515	69	4	248.733	252.45	17	18
interval_errors	2	8.3784	8.7813	0	828.515	69	4	252.45	260.828	18	19
interval_errors	2	4.84517	4.3451	0	828.515	69	4	260.828	265.674	19	21
interval_errors	2	9.177	9.3269	0	828.515	69	4	265.674	274.851	21	22
interval_errors	2	11.8825	11.9758	0	828.515	69	4	274.851	286.733	22	23
interval_errors	2	10.5803	10.5927	0	828.515	69	4	286.733	297.313	23	24
interval_errors	2	20.1114	19.1267	0	828.515	69	4	297.313	317.425	24	26
interval_errors	2	3.47709	4.118	0	828.515	69	4	317.425	320.902	26	27
interval_errors	2	9.24946	9.4307	0	828.515	69	4	320.902	330.151	27	28
interval_errors	2	21.0116	20.9085	0	828.515	69	4	330.151	351.163	28	29
interval_errors	2	7.62062	7.6753	0	828.515	69	4	351.163	358.784	29	30
interval_errors	2	3.10969	3.0046	0	828.515	69	4	358.784	361.893	30	31
interval_errors	2	5.91933	6.0306	0	828.515	69	4	361.893	367.813	31	32
interval_errors	2	7.39099	7.808	0	828.515	69	4	367.813	375.204	32	33
interval_errors	2	2.25343	1.8116	0	828.515	69	4	375.204	377.457	33	34
interval_errors	2	20.2053	20.2854	0	828.515	69	4	377.457	397.662	34	35
interval_errors	2	10.565	10.5995	0	828.515	69	4	397.662	408.227	35	36
interval_errors	2	5.16206	5.1562	0	828.515	69	4	408.227	413.389	36	37
interval_errors	2	3.64549	3.6359	0	828.515	69	4	413.389	417.035	37	38
interval_errors	2	3.24134	3.4141	0	828.515	69	4	417.035	420.276	38	39
interval_errors	2	3.38932	3.3036	0	828.515	69	4	420.276	423.666	39	40
interval_errors	2	12.8766	13.2035	0	828.515	69	4	423.666	436.542	40	41
interval_errors	2	7.12768	7.1954	0	828.515	69	4	436.542	443.67	41	42
interval_errors	2	34.5944	34.502	0	828.515	69	4	443.67	478.264	42	43
interval_errors	2	12.254	12.3099	0	828.515	69	4	478.264	490.518	43	44
interval_errors	2	16.4823	16.5899	0	828.515	69	4	490.518	507	44	45
interval_errors	2	7.54408	7.6496	0	828.515	69	4	507	514.545	45	46
interval_errors	2	3.48118	3.4008	0	828.515	69	4	514.545	518.026	46	47
interval_errors	2	9.12393	9.2458	0	828.515	69	4	518.026	527.15	47	48
interval_errors	2	44.5878	44.7445	0	828.515	69	4	527.15	571.737	48	49
interval_errors	2	10.1914	9.8466	0	828.515	69	4	571.737	581.929	49	51
interval_errors	2	35.2486	35.7347	0	828.515	69	4	581.929	617.177	51	52
interval_errors	2	4.77067	4.9789	0	828.515	69	4	617.177	621.948	52	53
interval_errors	2	19.2302	19.1144	0	828.515	69	4	621.948	641.178	53	54
interval_errors	2	7.09707	7.0762	0	828.515	69	4	641.178	648.275	54	55
interval_errors	2	7.54918	7.4988	0	828.515	69	4	648.275	655.825	55	56
interval_errors	2	5.69225	5.6456	0	828.515	69	4	655.825	661.517	56	57
interval_errors	2	29.7574	29.281	0	828.515	69	4	661.517	691.274	57	58
interval_errors	2	15.6832	15.5991	0	828.515	69	4	691.274	706.957	58	59
interval_errors	2	43.0529	42.3283	0	828.515	69	4	706.957	750.01	59	60
interval_errors	2	14.5748	14.969	0	828.515	69	4	750.01	764.585	60	61
interval_errors	2	11.4947	11.6683	0	828.515	69	4	764.585	776.08	61	62
interval_errors	2	2.51775	2.3655	0	828.515	69	4	776.08	778.597	62	63
interval_errors	2	2.05748	2.0914	0	828.515	69	4	778.597	780.655	63	64
interval_errors	2	21.1218	21.7391	0	828.515	69	4	780.655	801.777	64	65
interval_errors	2	2.13402	1.8558	0	828.515	69	4	801.777	803.911	65	66
interval_errors	2	17.9488	18.5892	0	828.515	69	4	803.911	821.86	66	67
interval_errors	2	4.77526	4.2351	0	828.515	69	4	821.86	826.635	67	69
interval_errors	2	10.9232	34.0502	1	1913.14	149	0	1902.22	1913.14	149	150
interval_errors	2	12.65	12.5593	0	1913.14	149	0	1200.53	1213.18	90	91
interval_errors	2	2.82801	2.619	0	1913.14	149	0	1213.18	1216	91	92
interval_errors	2	8.73917	8.9058	0	1913.14	149	0	1216	1224.74	92	93
interval_errors	2	4.64157	4.6956	0	1913.14	149	0	1224.74	1229.38	93	94
interval_errors	2	6.79498	6.7876	0	1913.14	149	0	1229.38	1236.18	94	95
interval_errors	2	6.23264	6.1608	0	1913.14	149	0	1236.18	1242.41	95	96
interval_errors	2	5.36822	5.4427	0	1913.14	149	0	1242.41	1247.78	96	97
interval_errors	2	11.2375	11.4003	0	1913.14	149	0	1247.78	1259.02	97	98
interval_errors	2	10.7232	10.8988	0	1913.14	149	0	1259.02	1269.74	98	99
interval_errors	2	5.4121	5.4189	0	1913.14	149	0	1269.74	1275.15	99	100
interval_errors	2	10.5609	10.1618	0	1913.14	149	0	1275.15	1285.71	100	102
interval_errors	2	3.40463	3.9414	0	1913.14	149	0	1285.71	1289.12	102	103
interval_errors	2	18.2826	18.3115	0	1913.14	149	0	1289.12	1307.4	103	104
interval_errors	2	6.01526	5.9318	0	1913.14	149	0	1307.4	1313.42	104	105
interval_errors	2	10.5823	10.6408	0	1913.14	149	0	1313.42	1324	105	106
interval_errors	2	7.31853	7.2427	0	1913.14	149	0	1324	1331.32	106	107
interval_errors	2	15.6893	15.8036	0	1913.14	149	0	1331.32	1347.01	107	108
interval_errors	2	28.9414	28.9404	0	1913.14	149	0	1347.01	1375.95	108	109
interval_errors	2	2.05441	1.7821	0	1913.14	149	0	1375.95	1378	109	110
interval_errors	2	11.3855	11.2151	0	1913.14	149	0	1378	1389.39	110	111
interval_errors	2	18.8714	18.7846	0	1913.14	149	0	1389.39	1408.26	111	112
interval_errors	2	15.7393	15.7726	0	1913.14	149	0	1408.26	1424	112	113
interval_errors	2	36.8335	36.2019	0	1913.14	149	0	1424	1460.83	113	114
interval_errors	2	7.73697	7.6758	0	1913.14	149	0	1460.83	1468.57	114	115
interval_errors	2	21.4443	21.2002	0	1913.14	149	0	1468.57	1490.01	115	116
interval_errors	2	23.265	23.2324	0	1913.14	149	0	1490.01	1513.28	116	117
interval_errors	2	12.2112	12.1361	0	1913.14	149	0	1513.28	1525.49	117	118
interval_errors	2	7.7533	7.6316	0	1913.14	149	0	1525.49	1533.24	118	119
interval_errors	2	10.4629	10.4904	0	1913.14	149	0	1533.24	1543.71	119	120
interval_errors	2	4.27008	4.285	0	1913.14	149	0	1543.71	1547.98	120	121
interval_errors	2	4.78649	4.7796	0	1913.14	149	0	1547.98	1552.76	121	122
interval_errors	2	52.8443	51.2417	0	1913.14	149	0	1552.76	1605.61	122	123
interval_errors	2	40.6943	40.4671	0	1913.14	149	0	1605.61	1646.3	123	124
interval_errors	2	14.5569	14.4801	0	1913.14	149	0	1646.3	1660.86	124	125
interval_errors	2	6.64648	6.7439	0	1913.14	149	0	1660.86	1667.5	125	126
interval_errors	2	3.71999	3.7466	0	1913.14	149	0	1667.5	1671.22	126	127
interval_errors	2	3.17602	3.1723	0	1913.14	149	0	1671.22	1674.4	127	128
interval_errors	2	10.7732	11.3418	0	1913.14	149	0	1674.4	1685.17	128	129
interval_errors	2	16.8619	16.3226	0	1913.14	149	0	1685.17	1702.04	129	131
interval_errors	2	7.69104	7.7394	0	1913.14	149	0	1702.04	1709.73	131	132
interval_errors	2	1.91255	1.6632	0	1913.14	149	0	1709.73	1711.64	132	133
interval_errors	2	2.58715	2.8033	0	1913.14	149	0	1711.64	1714.23	133	134
interval_errors	2	21.3596	21.0699	0	1913.14	149	0	1714.23	1735.59	134	136
interval_errors	2	43.3203	42.7186	0	1913.14	149	0	1735.59	1778.91	136	137
